obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""400.0801""","=""0.0004""","=""400.080175""","=""0.000018""","=""23""","=""""",,"=""82978.717""","=""107966.642""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""9/2""",,"=""""","=""L18349c139""",
"=""400.2906""","=""0.0003""","=""400.290562""","=""0.000019""","=""20""","=""""",,"=""89119.452""","=""114094.244""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(5D).6d""","=""114094""","=""5/2""",,"=""""","=""L18349c139""",
"=""400.6392""","=""0.0003""","=""400.639494""","=""0.000021""","=""35""","=""""",,"=""81639.253""","=""106592.294""","=""3d5.4s2""","=""2F2""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4P*""","=""5/2""",,"=""""","=""L18349c139""",
"=""400.8090""","=""0.0006""","=""400.808411""","=""0.000018""","=""9""","=""""",,"=""88614.523""","=""113557.048""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""9/2""","=""3d6.(5D).6d""","=""6F""","=""9/2""",,"=""""","=""L18349c139""",
"=""401.0835""","=""0.0003""","=""401.08384""","=""0.00004""","=""14""","=""""",,"=""87471.789""","=""112397.186""","=""3d5.(4G).4s.4p.(3P*)""","=""y 6F*""","=""9/2""","=""3d6.(5D).7s""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""401.1308""","=""0.0003""","=""401.130898""","=""0.000019""","=""16""","=""""",,"=""89471.372""","=""114393.845""","=""3d6.(5D).5p""","=""6D*""","=""1/2""","=""3d6.(5D).6d""","=""114393""","=""3/2""",,"=""""","=""L18349c139""",
"=""401.2742""","=""0.0003""","=""401.274280""","=""0.000019""","=""22""","=""""",,"=""88614.523""","=""113528.091""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""9/2""","=""3d6.(5D).6d""","=""6F""","=""11/2""",,"=""""","=""L18349c139""",
"=""401.4205""","=""0.0003""","=""401.42099""","=""0.00003""","=""33""","=""""",,"=""79284.919""","=""104189.382""","=""3d5.(6S).4s.4p.(1P*)""","=""x 6P*""","=""5/2""","=""3d6.(3H).4d""","=""4F""","=""3/2""",,"=""""","=""L18349c139""",
"=""402.08874""","=""0.00014""","=""402.088802""","=""0.000020""","=""30""","=""""",,"=""88853.535""","=""113716.636""","=""3d6.(5D).5p""","=""6D*""","=""7/2""","=""3d6.(5D).6d""","=""113716""","=""7/2""",,"=""""","=""L18349c139""",
"=""402.4552""","=""0.0015""","=""402.45505""","=""0.00003""","=""350""","=""2.5e+05""",D,"=""36252.931""","=""61093.406""","=""3d6.(3D).4s""","=""b 2D""","=""5/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""",,"=""T6892c83""","=""L7357""",
"=""402.56554""","=""0.00011""","=""402.565662""","=""0.000020""","=""50""","=""""",,"=""88723.398""","=""113557.048""","=""3d6.(5D).5p""","=""6D*""","=""9/2""","=""3d6.(5D).6d""","=""6F""","=""9/2""",,"=""""","=""L18349c139""",
"=""402.6580""","=""0.0005""","=""402.657874""","=""0.000018""","=""21""","=""""",,"=""89128.569""","=""113956.532""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""7/2""","=""3d6.(5D).6d""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""402.8670""","=""0.0003""","=""402.867247""","=""0.000018""","=""17""","=""""",,"=""89119.452""","=""113934.512""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(5D).6d""","=""6D""","=""5/2""",,"=""""","=""L18349c139""",
"=""403.03559""","=""0.00007""","=""403.035627""","=""0.000023""","=""60""","=""""",,"=""88723.398""","=""113528.091""","=""3d6.(5D).5p""","=""6D*""","=""9/2""","=""3d6.(5D).6d""","=""6F""","=""11/2""",,"=""""","=""L18349c139""",
"=""403.12399""","=""0.00015""","=""403.12441""","=""0.00003""","=""80bl(Fe I)""","=""""",,"=""79243.462""","=""104042.692""","=""3d6.(1D2).4p""","=""w 2P*""","=""3/2""","=""3d6.(3H).4d""","=""4G""","=""5/2""",,"=""""","=""L18349c148""",
"=""403.14317""","=""0.00019""","=""403.143466""","=""0.000020""","=""20""","=""""",,"=""89444.455""","=""114242.513""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(5D).6d""","=""114242""","=""5/2""",,"=""""","=""L18349c139""",
"=""403.7477""","=""0.0004""","=""403.747128""","=""0.000020""","=""70""","=""""",,"=""59663.440""","=""84424.422""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""","=""3d6.(5D).4d""","=""6P""","=""3/2""",,"=""""","=""L18349c139""",
"=""404.2733""","=""0.0003""","=""404.273097""","=""0.000020""","=""16""","=""""",,"=""89444.455""","=""114173.223""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(5D).6d""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""404.6866""","=""0.0003""","=""404.686404""","=""0.000018""","=""17""","=""""",,"=""88853.535""","=""113557.048""","=""3d6.(5D).5p""","=""6D*""","=""7/2""","=""3d6.(5D).6d""","=""6F""","=""9/2""",,"=""""","=""L18349c139""",
"=""405.24985""","=""0.00012""","=""405.24975""","=""0.00007""","=""60""","=""""",,"=""83868.450""","=""108537.623""","=""3d6.(1F).4p""","=""v 2D*""","=""5/2""","=""3d6.(3G).4d""","=""4G""","=""7/2""",,"=""""","=""L18349c139""",
